area_num,white,hispanic,black,asian,other
1,25,11,15,3,3
2,32,18,9,17,4
3,31,9,11,6,2
4,26,8,2,4,2
5,27,5,1,2,2
6,78,9,4,7,4
7,55,4,3,5,2
8,68,6,7,14,4
9,10,1,0,0,0
10,29,7,0,2,1
11,16,7,1,3,1
12,15,2,0,3,1
13,9,4,1,5,1
14,17,22,2,6,1
15,30,28,1,4,2
16,25,22,2,4,2
17,25,15,1,2,1
18,5,8,1,0,0
19,12,62,2,2,1
20,3,18,1,1,0
21,14,19,1,2,2
22,40,25,4,3,3
23,6,30,19,1,1
24,55,18,6,5,4
25,5,17,73,0,2
26,0,1,16,0,0
27,1,1,17,0,1
28,28,6,16,12,2
29,2,4,26,0,1
30,4,57,9,0,0
31,7,23,1,1,1
32,23,4,3,8,2
33,14,1,6,4,1
34,2,1,1,9,0
35,2,1,14,3,1
36,0,0,7,0,0
37,0,0,2,0,0
38,1,1,21,0,1
39,4,1,12,1,1
40,0,0,11,0,0
41,13,2,7,4,2
42,2,1,19,1,1
43,2,2,51,0,1
44,0,0,32,0,0
45,0,0,9,0,0
46,1,7,22,0,0
47,0,0,2,0,0
48,0,0,12,0,0
49,1,1,37,0,1
50,1,1,6,0,0
51,1,5,10,0,0
52,3,21,0,0,0
53,0,2,24,0,1
54,0,0,8,0,0
55,4,5,1,0,0
56,15,20,1,0,0
57,2,10,0,1,0
58,3,35,9,4,0
59,2,8,0,4,0
60,12,8,1,13,0
61,5,25,9,1,0
62,3,15,0,1,0
63,1,32,2,0,0
64,9,15,1,0,0
65,4,27,1,0,0
66,1,29,20,0,1
67,0,3,22,0,1
68,0,1,19,0,0
69,0,1,28,0,1
70,4,21,20,0,1
71,0,2,45,0,0
72,11,1,6,0,1
73,0,0,26,0,0
74,16,2,0,0,1
75,7,1,13,0,1
76,9,1,1,2,0
77,32,9,7,7,3
