id,lat,long,sector
6061WGSSLN18WFU,41.887079,-87.672943,Beverages
6062WGLBLM2825W,41.83684,-87.69619,Nonmetallic Mineral Product
60623CHCGS1846S,41.855126,-87.737691,Fabricated Metals
60609MNLYL4435S,41.810058,-87.681026,Electrical Equipment
60651LLDMT4528W,41.903133,-87.739426,Primary Metals
60626SCLCT6601N,42.00231,-87.67662,Electrical Equipment
60624CLRCM4242W,41.86791,-87.73131,Paper
60607NBRTP340NO,41.887629,-87.667374,Fabricated Metals
60609CDPRD6W41S,41.820978,-87.641595,Chemical Wholesalers
60633FRDMT12600,41.663722,-87.561409,Transportation Equipment
60607RLBLP1538W,41.885676,-87.66606,Fabricated Metals
60622SPMTL1720E,41.913364,-87.664551,Primary Metals
60608NGNRD929WE,41.818689,-87.649611,Nonmetallic Mineral Product
60620WBCXX8400S,41.741819,-87.634573,Transportation Equipment
60629KTLCD4099W,41.763491,-87.723679,Chemicals
60608LSTMR2448W,41.848658,-87.687122,Plastics and Rubber
60632LMCST3421W,41.80562,-87.7097,Chemicals
60651NBRTP1445N,41.907406,-87.726075,Fabricated Metals
60623BLLCT2001S,41.853901,-87.736397,Fabricated Metals
60651CHRMM4645W,41.894743,-87.742859,Fabricated Metals
60639TMTCS4940W,41.91322,-87.75075,Fabricated Metals
60628MSRYC1140E,41.70762,-87.59509,Chemicals
60629NBSCB7300S,41.75943,-87.70475,Food
60610WTRSV701WE,41.89338,-87.64637,Fabricated Metals
60623CNTRL3200S,41.834714,-87.73812,Fabricated Metals
60610NTYMF1260N,41.90492,-87.64198,Transportation Equipment
60624CHCGN4112W,41.885998,-87.728912,Fabricated Metals
60609NCHMC4650S,41.810961,-87.657293,Chemicals
60622MLNDN1424N,41.907173,-87.648554,Primary Metals
60608PRRMT33SCA,41.833397,-87.697061,Nonmetallic Mineral Product
60628SHRWN11541,41.681245,-87.608389,Chemicals
60617HRSHD2701E,41.687371,-87.554861,Primary Metals
60619VRSNC1355E,41.726794,-87.590059,Primary Metals
60609SFTYK1445W,41.817168,-87.660854,Hazardous Waste
60632GLDGL4400S,41.813463,-87.733954,Petroleum
6063WNWLYW414WF,41.926106,-87.730658,Food
60609MRCNN1101W,41.814782,-87.654436,Fabricated Metals
60608MPRHR1537S,41.860362,-87.670224,Fabricated Metals
60617CRGLL12201,41.67308,-87.55475,Chemicals
60618CNTRY2939N,41.93536,-87.685156,Fabricated Metals
60623MYRST2000S,41.854027,-87.737559,Fabricated Metals
60608HKRMR1359W,41.85386,-87.659974,Primary Metals
6060WNTRSF815WP,41.822944,-87.646501,Food
6063WLSMSK2713N,41.917474,-87.767869,Primary Metals
60647RLNDS181NC,41.91403,-87.71623,Chemicals
60608RRSTR2353S,41.849169,-87.672614,Chemicals
6060WWLSCH233SM,41.850098,-87.651708,Nonmetallic Mineral Product
60614ZNGCH2001N,41.918282,-87.665955,Nonmetallic Mineral Product
60628MPRLS10316,41.70676,-87.597904,Primary Metals
60633LFRGN2150E,41.659603,-87.5709,Nonmetallic Mineral Product
6060WTNNNT112WE,41.819375,-87.653906,Chemicals
60638GMTHS6100S,41.781052,-87.791855,Fabricated Metals
60636MDWST7400S,41.758974,-87.674651,Fabricated Metals
60622PRRMT865NP,41.897575,-87.649033,Nonmetallic Mineral Product
60609RNMNT329WP,41.822933,-87.633951,Fabricated Metals
60616ZNGCH2255S,41.85115,-87.642785,Nonmetallic Mineral Product
60623MPRHR1615N,41.858089,-87.734298,Fabricated Metals
60618HFRDY3232N,41.940312,-87.691556,Miscellaneous Manufacturing
60646PRCSN4123W,41.989483,-87.73081,Fabricated Metals
6062WKBLRC2945W,41.836093,-87.699054,Food
60624CHCGT4459W,41.885854,-87.737424,Fabricated Metals
60633WLDDT1855E,41.671626,-87.578015,Primary Metals
60633TWRTM1235S,41.668871,-87.540997,Transportation Equipment
60609TTSNS4545S,41.812099,-87.653461,Food
60633PVSCH12260,41.673084,-87.549575,Chemicals
60632MDWYW4630W,41.794233,-87.739147,Primary Metals
60650GRDNR4718R,41.866787,-87.743659,Petroleum
6063WZNGRD6445S,41.776169,-87.623191,Nonmetallic Mineral Product
60608MRSCM2857S,41.842235,-87.646381,Nonmetallic Mineral Product
60614WSTRN3636N,41.94753,-87.74055,Fabricated Metals
60618SWTCH5555N,41.982118,-87.762359,Computers and Electronic Products
60622NVRSL1523W,41.889582,-87.666362,Primary Metals
60609CLNRY4201S,41.81767,-87.663604,Food
6061WSPHLT2835E,41.70274,-87.555133,Petroleum Bulk Terminals
